Point Time: 2024-03-27T23:50:00+00:00, Value: 373.7
Point Time: 2024-03-27T23:55:00+00:00, Value: 374.5
Point Time: 2024-03-28T00:00:00+00:00, Value: 472.9
Point Time: 2024-03-28T00:05:00+00:00, Value: 520.3
Point Time: 2024-03-28T00:10:00+00:00, Value: 520.8
Point Time: 2024-03-28T00:15:00+00:00, Value: 553.0
Point Time: 2024-03-28T00:20:00+00:00, Value: 650.3
Point Time: 2024-03-28T00:25:00+00:00, Value: 662.7
Point Time: 2024-03-28T00:30:00+00:00, Value: 667.3
Point Time: 2024-03-28T00:35:00+00:00, Value: 703.4
Point Time: 2024-03-28T00:40:00+00:00, Value: 776.1
Point Time: 2024-03-28T00:45:00+00:00, Value: 821.9
Point Time: 2024-03-28T00:50:00+00:00, Value: 820.9
Point Time: 2024-03-28T00:55:00+00:00, Value: 828.5
Point Time: 2024-03-28T01:00:00+00:00, Value: 951.7
Point Time: 2024-03-28T01:05:00+00:00, Value: 951.9
Point Time: 2024-03-28T01:10:00+00:00, Value: 877.6
Point Time: 2024-03-28T01:15:00+00:00, Value: 844.2
Point Time: 2024-03-28T01:20:00+00:00, Value: 812.6
Point Time: 2024-03-28T01:25:00+00:00, Value: 845.6
Point Time: 2024-03-28T01:30:00+00:00, Value: 861.4
Point Time: 2024-03-28T01:35:00+00:00, Value: 956.3
Point Time: 2024-03-28T01:40:00+00:00, Value: 950.9
Point Time: 2024-03-28T01:45:00+00:00, Value: 948.9
Point Time: 2024-03-28T01:50:00+00:00, Value: 951.2
Point Time: 2024-03-28T01:55:00+00:00, Value: 951.5
Point Time: 2024-03-28T02:00:00+00:00, Value: 959.1
Point Time: 2024-03-28T02:05:00+00:00, Value: 956.9
Point Time: 2024-03-28T02:10:00+00:00, Value: 957.7
Point Time: 2024-03-28T02:15:00+00:00, Value: 955.4
Point Time: 2024-03-28T02:20:00+00:00, Value: 955.2
Point Time: 2024-03-28T02:25:00+00:00, Value: 952.7
Point Time: 2024-03-28T02:30:00+00:00, Value: 952.5
Point Time: 2024-03-28T02:35:00+00:00, Value: 955.1
Point Time: 2024-03-28T02:40:00+00:00, Value: 952.7
Point Time: 2024-03-28T02:45:00+00:00, Value: 952.6
Point Time: 2024-03-28T02:50:00+00:00, Value: 952.6
Point Time: 2024-03-28T02:55:00+00:00, Value: 952.5
Point Time: 2024-03-28T03:00:00+00:00, Value: 958.3
Point Time: 2024-03-28T03:05:00+00:00, Value: 963.6
Point Time: 2024-03-28T03:10:00+00:00, Value: 966.2
Point Time: 2024-03-28T03:15:00+00:00, Value: 966.2
Point Time: 2024-03-28T03:20:00+00:00, Value: 967.3
Point Time: 2024-03-28T03:25:00+00:00, Value: 966.7
Point Time: 2024-03-28T03:30:00+00:00, Value: 966.4
Point Time: 2024-03-28T03:35:00+00:00, Value: 963.2
Point Time: 2024-03-28T03:40:00+00:00, Value: 963.4
Point Time: 2024-03-28T03:45:00+00:00, Value: 963.2
Point Time: 2024-03-28T03:50:00+00:00, Value: 962.9
Point Time: 2024-03-28T03:55:00+00:00, Value: 963.0
Point Time: 2024-03-28T04:00:00+00:00, Value: 964.2
Point Time: 2024-03-28T04:05:00+00:00, Value: 962.0
Point Time: 2024-03-28T04:10:00+00:00, Value: 961.0
Point Time: 2024-03-28T04:15:00+00:00, Value: 961.6
Point Time: 2024-03-28T04:20:00+00:00, Value: 961.2
Point Time: 2024-03-28T04:25:00+00:00, Value: 961.0
Point Time: 2024-03-28T04:30:00+00:00, Value: 961.0
Point Time: 2024-03-28T04:35:00+00:00, Value: 960.5
Point Time: 2024-03-28T04:40:00+00:00, Value: 960.1
Point Time: 2024-03-28T04:45:00+00:00, Value: 960.0
Point Time: 2024-03-28T04:50:00+00:00, Value: 960.6
Point Time: 2024-03-28T04:55:00+00:00, Value: 960.9
Point Time: 2024-03-28T05:00:00+00:00, Value: 966.7
Point Time: 2024-03-28T05:05:00+00:00, Value: 962.0
